,benchmark,target,total_iterations,threads,rounds,smokers,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms
0,Cigarette Smokers,lf-cpp,12,1,1000,200,master,[],default,8.99508,10.0197,9.00753,9.101970833333334
1,Cigarette Smokers,lf-cpp,12,12,1000,200,master,[],default,9.03487,9.31548,9.045725000000001,9.075319166666667
