,benchmark,target,total_iterations,threads,rounds,smokers,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms
0,Cigarette Smokers,lf-cpp,12,24,1000,200,master,[],default,9.08618,9.49778,9.09248,9.160321666666666
1,Cigarette Smokers,lf-cpp,12,3,1000,200,master,[],default,9.02308,9.44688,9.032779999999999,9.071446666666667
2,Cigarette Smokers,lf-cpp,12,6,1000,200,master,[],default,9.00527,9.21658,9.022425,9.040560000000001
