,benchmark,target,total_iterations,threads,rounds,smokers,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms
0,Cigarette Smokers,lf-c,12,3,1000,200,adaptive,1.774,4.679,1.7854999999999999,2.1214166666666667
1,Cigarette Smokers,lf-c,12,6,1000,200,NP,1.729,1.761,1.7395,1.7426666666666666
2,Cigarette Smokers,lf-c,12,24,1000,200,adaptive,1.87,2.76,2.0125,2.0736666666666665
3,Cigarette Smokers,lf-c,12,24,1000,200,GEDF_NP,1.844,2.336,1.8555000000000001,1.902
4,Cigarette Smokers,lf-c,12,24,1000,200,NP,1.727,1.791,1.7325,1.7407500000000002
5,Cigarette Smokers,lf-c,12,6,1000,200,adaptive,1.743,2.831,1.7665,1.863083333333333
6,Cigarette Smokers,lf-c,12,3,1000,200,GEDF_NP,1.844,1.879,1.852,1.8563333333333336
7,Cigarette Smokers,lf-c,12,3,1000,200,NP,1.728,1.802,1.7345000000000002,1.7406666666666666
8,Cigarette Smokers,lf-c,12,6,1000,200,GEDF_NP,1.845,1.956,1.855,1.8662500000000002
