,benchmark,target,total_iterations,threads,rounds,smokers,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms
0,Cigarette Smokers,lf-c,12,3,1000,200,adaptive,2.249,3.384,2.285,2.375
1,Cigarette Smokers,lf-c,12,6,1000,200,NP,2.234,2.283,2.251,2.2524166666666665
2,Cigarette Smokers,lf-c,12,24,1000,200,adaptive,2.5,3.302,2.5134999999999996,2.578583333333333
3,Cigarette Smokers,lf-c,12,24,1000,200,GEDF_NP,2.346,2.617,2.3595,2.3846666666666665
4,Cigarette Smokers,lf-c,12,24,1000,200,NP,2.227,2.297,2.2595,2.2585833333333336
5,Cigarette Smokers,lf-c,12,6,1000,200,adaptive,2.304,3.389,2.3385,2.4270833333333335
6,Cigarette Smokers,lf-c,12,3,1000,200,GEDF_NP,2.328,2.435,2.3685,2.3742500000000004
7,Cigarette Smokers,lf-c,12,3,1000,200,NP,2.232,2.329,2.254,2.2577499999999997
8,Cigarette Smokers,lf-c,12,6,1000,200,GEDF_NP,2.345,2.428,2.3630000000000004,2.3654166666666665
