,benchmark,target,total_iterations,threads,rounds,smokers,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms
0,Cigarette Smokers,lf-cpp,12,1,1000,200,master,[],default,10.4212,11.6025,10.471350000000001,10.728900000000001
1,Cigarette Smokers,lf-cpp,12,3,1000,200,master,[],default,10.4518,11.8764,10.544599999999999,10.809433333333336
