,benchmark,target,total_iterations,threads,messages,runtime_version,extra_args,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,eating_rounds,philosophers,workers,precision,haircuts,waiting_room_size,production_rate,haircut_rate,actors,data_length,block_threshold,priorities,terms,series,start_rate,num_workers,block_size,max_edge_weight,rounds,smokers,messages_per_worker,write_percentage,size,threshold,solution_limit,pieces,left,right,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,columns,simulations,channels,accounts,transactions,data_size,max_value,seed,grid_size,pings,size_percentage
27,A-Star Search,lf-cpp,12,2,,master,[],default,290.957,1245.97,531.863,683.7198333333332,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
28,Producer Consumer (bounded),lf-cpp,12,18,,master,[],default,192.912,225.775,210.72050000000002,209.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
29,NQueens first N solutions,lf-cpp,12,18,,master,[],default,483.392,517.645,501.248,500.8808333333334,,,,,,,,,,,,10.0,,,,20.0,,,,,,,12.0,4.0,1500000.0,,,,,,,,,,,,,,,,,,,,
30,Filter Bank,lf-cpp,12,2,,master,[],default,612.302,655.834,650.294,647.1686666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0,,,,,,,,
31,Ping Pong,lf-cpp,12,2,,master,[],default,149.659,152.339,151.80149999999998,151.38700000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,
32,Counting Actor,lf-cpp,12,9,1000000.0,master,[],default,385.342,406.254,394.2895,394.1579166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Producer Consumer (bounded),lf-cpp,12,9,,master,[],default,216.323,243.865,229.156,227.45983333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,
34,Fork Join (throughput),lf-cpp,12,2,10000.0,master,[],default,59.3973,63.9505,60.800399999999996,61.19343333333333,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,All-Pairs Shortest Path,lf-cpp,12,2,,master,[],default,295.944,312.588,308.372,306.34591666666665,,,,,,,,,,,,,,,,198.0,33.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A-Star Search,lf-cpp,12,4,,master,[],default,163.168,951.353,445.818,456.3279166666667,,,,,,,,,,,,30.0,,,,20.0,,,,,,,,2014.0,,,,,,,,,,,,,,,,,,,30.0,,
37,Radix Sort,lf-cpp,12,9,,master,[],default,480.804,500.613,491.4925,491.79091666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
38,Thread Ring,lf-cpp,12,4,,master,[],default,212.143,230.49,218.26799999999997,220.04674999999997,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,
